parrafo,zona,estilo,palabras,oraciones,oracion_mas_larga,oraciones_largas,rayas,punto_y_coma,arranque_ordinal,hallazgos,veredictos,ubicaciones,n_hallazgos,gravedad_max,inicio
83,frente,Normal,604,10,110,6,8,7,0,"media: Parrafo 83 (RESUMEN); identico en el parrafo 86 del SUMMARY ('tuned automatically by PSO' + 'r=25 by design') — INCOHERENCIA + media: Parrafo 83 (RESUMEN) y parrafo 86 (SUMMARY), tres pasajes cada uno — INCOHERENCIA + media: Parrafo 83 (RESUMEN); 'low cost' implicito en el parrafo 86 ('interpretable single-scale morphological operator') — SIN FUENTE",INCOHERENCIA · SIN FUENTE,RESUMEN,3,media,La fusión de imágenes visible (VIS) e infrarroja (IR) busca una sola imagen que conserve e
86,frente,Normal,524,10,96,6,8,7,0,"media: Parrafo 83 (RESUMEN); identico en el parrafo 86 del SUMMARY ('tuned automatically by PSO' + 'r=25 by design') — INCOHERENCIA + media: Parrafo 83 (RESUMEN) y parrafo 86 (SUMMARY), tres pasajes cada uno — INCOHERENCIA + media: Parrafo 83 (RESUMEN); 'low cost' implicito en el parrafo 86 ('interpretable single-scale morphological operator') — SIN FUENTE",INCOHERENCIA · SIN FUENTE,RESUMEN,3,media,Visible (VIS) and infrared (IR) image fusion is key for computer perception under adverse 
197,cuerpo,Normal,132,4,48,1,0,0,0,,,—,0,,"La percepción visual computacional moderna depende, en numerosas aplicaciones críticas, de"
198,cuerpo,Normal,61,2,45,1,0,0,0,,,—,0,,Las aplicaciones que se benefician de esta integración son numerosas y de alto impacto: vi
199,cuerpo,Normal,89,2,51,1,0,2,0,,,—,0,,"Existen, en términos generales, tres familias de métodos de fusión: las de píxel, ampliame"
200,cuerpo,Normal,204,4,97,2,4,2,0,,,—,0,,Esta tesis se sitúa explícitamente en el espacio de los métodos clásicos interpretables. P
201,cuerpo,Normal,102,7,36,0,0,0,1,,,—,0,,El documento sigue este orden. En el capítulo de Problema de Investigación se delimita la 
204,cuerpo,Normal,96,4,36,0,0,0,0,,,—,0,,"Pese a más de tres décadas de investigación en fusión de imágenes multimodal, no existe un"
205,cuerpo,Normal,135,4,44,2,2,0,0,,,—,0,,La morfología matemática ofrece un marco intermedio: opera directamente sobre la geometría
207,cuerpo,Normal,136,5,40,0,2,0,3,,,—,0,,"La justificación de este trabajo descansa sobre tres ejes. Primero, la relevancia aplicada"
210,cuerpo,Normal,147,1,147,1,4,1,0,,,—,0,,"Diseñar, implementar y caracterizar un operador de fusión de imágenes visibles e infrarroj"
212,cuerpo,List Paragraph,107,2,96,1,0,3,0,,,—,0,,Formular e implementar el operador tal como efectivamente se evalúa: sobre una sola escala
213,cuerpo,List Paragraph,52,1,52,1,0,0,0,,,—,0,,Delimitar el alcance real de la optimización por enjambre de partículas: establecer cuál d
214,cuerpo,List Paragraph,71,1,71,1,0,0,0,,,—,0,,Comparar el operador con la metodología clásica y con cinco configuraciones de referencia 
215,cuerpo,List Paragraph,39,1,39,0,0,0,0,,,—,0,,"Evaluar si la batería de métricas empleada discrimina calidad de fusión, mediante tres pru"
216,cuerpo,List Paragraph,54,1,54,1,0,0,0,,,—,0,,Medir el efecto de la fusión sobre la detección de objetos con dos experimentos independie
219,cuerpo,Normal,72,1,72,1,2,0,0,,,—,0,,¿En qué dirección desplaza el punto de operación de la fusión VIS/IR un operador Top-Hat d
221,cuerpo,List Paragraph,46,1,46,1,2,0,0,,,—,0,,"¿Cómo debe formularse el operador —banco de disco y líneas, combinación de las respuestas "
222,cuerpo,List Paragraph,34,1,34,0,0,0,0,,,—,0,,"¿Cuál de los dos hiperparámetros (r, m) determina efectivamente la aptitud declarada, qué "
223,cuerpo,List Paragraph,48,1,48,1,0,0,0,,,—,0,,"¿Existen diferencias estadísticamente significativas entre la Propuesta Novedosa, la metod"
224,cuerpo,List Paragraph,32,1,32,0,0,0,0,,,—,0,,¿Discrimina la batería de nueve métricas sin referencia entre detalle útil y ruido inyecta
225,cuerpo,List Paragraph,43,1,43,1,2,0,0,,,—,0,,¿La fusión —y en particular el método propuesto— mejora el desempeño de un detector de obj
227,cuerpo,Normal,268,9,40,0,0,2,0,"media: Parrafo 229, limitacion novena, frente a H5 en el parrafo 227 y a la seccion 5.8.5 (parrafo 418) — INCOHERENCIA + media: Parrafo 227 (1.5 Hipotesis), hoja de ruta final — INCOHERENCIA",INCOHERENCIA,Hipotesis · limitacion novena,2,media,"De la formulación anterior se derivan siete hipótesis de trabajo, todas contrastables con "
229,cuerpo,Normal,437,11,72,5,6,5,10,"media: Parrafo 229, limitacion novena — CONTRADICE + media: Parrafo 229, limitacion novena, frente a H5 en el parrafo 227 y a la seccion 5.8.5 (parrafo 418) — INCOHERENCIA",CONTRADICE · INCOHERENCIA,limitacion novena,2,media,"Esta investigación se circunscribe a las siguientes limitaciones, que deben tenerse presen"
231,cuerpo,Normal,97,2,69,1,0,6,0,,,—,0,,El alcance de la tesis abarca: la implementación íntegra y reproducible del método propues
234,cuerpo,Normal,109,4,38,0,0,0,0,,,—,0,,"La fusión de imágenes multimodal, particularmente VIS+IR, cuenta con una literatura abunda"
235,cuerpo,Normal,143,5,33,0,0,0,0,,,—,0,,"Específicamente en fusión morfológica, Mukhopadhyay y Chanda (2000) introducen una de las "
236,cuerpo,Normal,67,4,22,0,0,0,0,,,—,0,,"Los métodos profundos, por su parte, han avanzado rápidamente. Ma et al. (2019, FusionGAN)"
237,cuerpo,Normal,124,3,52,2,4,1,0,,,—,0,,"Una visión panorámica reciente la ofrece la revisión de Singh et al. (2023), que sistemati"
239,cuerpo,Normal,8,2,6,0,0,0,0,,,—,0,,Tabla 1. Notación empleada en el marco teórico.
242,cuerpo,Normal,93,3,40,0,0,2,0,,,—,0,,La fusión de imágenes a nivel pixel se formaliza como un operador F: ℝ^{H×W} × ℝ^{H×W} → ℝ
244,cuerpo,Normal,122,4,34,0,0,2,0,,,—,0,,La morfología matemática es un cuerpo algebraico para el análisis de estructuras geométric
245,cuerpo,Normal,35,2,23,0,0,0,0,,,—,0,,Las dos operaciones fundamentales son la dilatación (δ) y la erosión (ε). En escala de gri
247,cuerpo,Normal,111,5,37,0,0,0,0,,,—,0,,La transformada White Top-Hat se define como la diferencia entre la imagen original y su a
248,cuerpo,Normal,54,2,37,0,0,0,0,,,—,0,,"Para realzar estructuras direccionales, La combinación de elementos estructurantes circula"
249,cuerpo,Normal,22,1,22,0,0,0,0,,,—,0,,"y reconstruyen la imagen realzada sumando los realces claros y restando los oscuros, combi"
251,cuerpo,Normal,17,2,15,0,0,0,0,,,—,0,,"Figura 1. Operaciones morfológicas (erosión, dilatación, apertura y cierre) y transformada"
254,cuerpo,Normal,181,4,68,3,4,0,0,,,—,0,,La metodología clásica de fusión por transformada Top-Hat constituye la referencia morfoló
255,cuerpo,Normal,9,1,9,0,0,0,0,,,—,0,,La imagen fusionada final se reconstruye según la regla:
